"s1","s2","s3","s4","s5","s6","method","em","matches"
2,4,6,5,1,3,"cart",1.92080104351044,9
4,1,3,5,2,6,"cart",1.76850390434265,7
4,3,6,5,2,1,"cart",1.56283676624298,12
3,2,4,5,6,1,"cart",1.39714276790619,7
2,5,3,4,1,6,"cart",1.62868678569794,9
4,2,1,5,6,3,"cart",1.31623256206512,8
6,5,3,4,2,1,"cart",1.75348699092865,13
6,1,2,4,3,5,"cart",1.4021612405777,15
2,6,5,3,1,4,"cart",1.48829567432404,16
5,4,6,3,1,2,"cart",1.26225244998932,23
3,4,6,5,1,2,"cart",1.51002097129822,6
1,3,6,5,4,2,"cart",1.87570452690125,7
2,3,5,4,6,1,"cart",1.34921216964722,13
6,3,2,1,5,4,"cart",2.05092287063599,10
2,5,3,6,4,1,"cart",1.42010295391083,11
4,2,5,6,3,1,"cart",1.3499892950058,11
2,4,3,1,5,6,"cart",1.77724885940552,12
1,5,6,4,3,2,"cart",1.49005949497223,18
3,2,5,6,1,4,"cart",1.48705399036407,4
1,2,3,6,4,5,"cart",1.42038655281067,8
6,2,1,4,5,3,"cart",2.00569224357605,10
3,2,5,4,1,6,"cart",1.6205643415451,5
4,5,6,3,1,2,"cart",1.62850499153137,19
2,1,6,4,3,5,"cart",1.59521520137787,14
4,1,3,5,2,6,"cart",1.45752310752869,16
6,5,1,3,4,2,"cart",1.39318525791168,13
6,5,1,2,4,3,"cart",1.50435292720795,7
3,6,5,2,4,1,"cart",1.45405888557434,6
4,2,6,3,5,1,"cart",1.37155210971832,16
2,1,6,4,3,5,"cart",1.47631502151489,18
4,2,6,3,1,5,"cart",1.45929479598999,10
5,2,3,4,6,1,"cart",1.29858028888702,5
2,6,3,5,4,1,"cart",1.73671615123749,16
5,1,3,2,4,6,"cart",1.43668985366821,14
1,2,4,5,3,6,"cart",2.11823964118958,12
1,6,5,4,2,3,"cart",1.59345543384552,14
2,4,5,1,3,6,"cart",1.33497190475464,12
3,4,1,6,2,5,"cart",1.84971237182617,5
5,6,3,4,1,2,"cart",1.51254844665527,17
3,6,4,1,2,5,"cart",1.36974942684174,10
3,2,5,4,6,1,"cart",1.21411883831024,3
2,5,6,3,1,4,"cart",1.59893977642059,11
5,4,2,6,3,1,"cart",1.71459138393402,14
6,3,5,4,2,1,"cart",1.62121486663818,5
3,2,6,1,4,5,"cart",1.59171807765961,8
6,4,1,3,5,2,"cart",1.71220934391022,6
2,5,3,4,6,1,"cart",1.77870106697083,15
6,5,3,2,4,1,"cart",1.64709103107452,16
5,6,1,2,4,3,"cart",1.8774801492691,10
1,4,5,2,6,3,"cart",1.83512914180756,12
6,2,5,4,1,3,"cart",1.49889552593231,16
4,1,3,6,2,5,"cart",1.51270055770874,12
6,2,1,3,4,5,"cart",1.58951652050018,10
2,3,1,4,6,5,"cart",1.48729205131531,12
2,3,6,4,1,5,"cart",1.88959324359894,8
2,1,5,4,3,6,"cart",1.60850012302399,7
1,3,2,6,5,4,"cart",1.56178975105286,6
1,3,4,2,6,5,"cart",1.82478022575378,4
6,5,1,4,3,2,"cart",1.58063888549805,15
5,2,6,1,3,4,"cart",1.65071952342987,9
4,6,5,2,3,1,"cart",1.48460805416107,15
5,6,3,2,4,1,"cart",1.45064330101013,12
4,6,2,3,5,1,"cart",1.33115363121033,9
1,5,3,4,6,2,"cart",1.57184016704559,17
5,6,4,2,3,1,"cart",1.42222201824188,14
2,4,6,1,5,3,"cart",1.39756286144257,4
4,2,1,5,3,6,"cart",1.47645735740662,16
2,5,3,4,1,6,"cart",1.53872728347778,14
2,6,3,4,5,1,"cart",1.54298710823059,14
4,5,2,1,6,3,"cart",1.42888355255127,11
1,4,3,6,2,5,"cart",1.8244993686676,16
4,1,6,3,5,2,"cart",1.61980009078979,22
6,4,5,1,3,2,"cart",1.4881956577301,12
5,1,4,2,6,3,"cart",1.30307722091675,16
2,3,5,6,1,4,"cart",1.64712059497833,9
4,6,3,2,1,5,"cart",1.45073103904724,14
6,3,5,2,4,1,"cart",1.45306587219238,11
2,4,1,6,5,3,"cart",1.48939251899719,10
5,4,1,3,2,6,"cart",1.36747670173645,10
5,2,3,6,1,4,"cart",2.38337111473083,11
1,5,6,4,3,2,"cart",1.33999300003052,14
2,5,1,4,3,6,"cart",1.36085247993469,11
2,5,6,3,4,1,"cart",1.6451290845871,12
4,2,1,6,5,3,"cart",1.58217763900757,6
5,2,4,1,6,3,"cart",1.65324282646179,15
5,2,4,3,1,6,"cart",1.33062326908112,12
3,1,2,6,5,4,"cart",1.84506511688232,5
5,2,3,4,6,1,"cart",1.68101036548615,7
2,4,5,1,6,3,"cart",1.67800641059875,13
2,1,4,5,6,3,"cart",1.40659737586975,11
3,1,2,4,5,6,"cart",1.24506866931915,2
4,5,1,3,2,6,"cart",1.80368208885193,8
4,5,3,1,6,2,"cart",1.47131454944611,16
3,4,1,2,5,6,"cart",1.37719225883484,7
6,3,4,1,5,2,"cart",2.03727221488953,13
6,1,3,2,5,4,"cart",1.7148060798645,13
4,1,2,6,3,5,"cart",1.33737409114838,10
6,4,1,2,3,5,"cart",1.54572463035583,10
1,2,4,5,6,3,"cart",1.36256802082062,13
5,3,4,1,2,6,"cart",1.8562206029892,8
2,4,3,5,6,1,"cart",1.52534818649292,9
3,1,5,2,4,6,"cart",1.84559750556946,4
5,4,2,1,6,3,"cart",1.80711054801941,17
4,3,6,1,5,2,"cart",1.37616109848022,11
1,4,5,3,6,2,"cart",1.26529359817505,8
4,6,1,5,3,2,"cart",1.52601432800293,13
6,4,5,2,3,1,"cart",1.62337446212769,16
2,5,1,4,6,3,"cart",1.56889379024506,8
6,2,4,3,5,1,"cart",1.95513272285461,7
