sex,sat_v,sat_m,sat_sum,hs_gpa,fy_gpa
0,38,32,60,25,7
1,31,34,55,33,8
1,29,30,49,30,8
0,15,23,28,30,6
0,28,22,40,33,6
1,28,26,44,33,7
0,30,35,55,16,7
0,26,32,48,31,6
1,40,47,74,33,9
0,14,14,18,11,6
0,31,40,61,30,8
1,18,27,35,30,7
1,16,15,21,16,6
1,23,28,41,30,9
0,27,36,53,26,7
1,28,27,45,30,8
1,17,23,30,21,5
0,26,38,54,33,9
1,27,19,36,30,7
1,20,25,35,33,8
0,37,46,71,33,8
1,12,3,5,22,4
0,25,35,50,32,9
0,22,28,40,26,6
0,19,10,19,26,6
1,16,19,25,1,0
0,36,42,68,33,9
1,19,15,24,6,2
0,18,23,31,26,6
0,8,15,13,26,5
1,27,23,40,33,9
1,39,36,65,30,8
0,13,20,23,18,6
1,26,37,53,33,9
0,37,32,59,16,7
0,17,9,16,15,5
0,42,34,66,26,6
1,20,30,40,30,3
0,6,18,14,1,3
0,34,33,57,30,6
1,13,12,15,15,5
0,25,32,47,18,6
0,29,31,50,5,6
0,11,19,20,26,6
0,27,17,34,18,2
0,6,13,9,18,6
1,9,15,14,12,6
1,9,17,16,18,5
1,37,30,57,31,8
0,22,12,24,20,5
0,30,36,56,18,5
0,23,30,43,18,7
1,21,19,30,18,8
1,27,25,42,22,6
0,37,36,63,21,6
1,30,20,40,31,7
1,22,25,37,9,7
1,37,38,65,33,-1
0,39,27,56,30,7
1,16,16,22,26,7
0,19,20,29,17,4
0,14,21,25,17,7
0,35,34,59,6,5
0,16,33,39,16,6
1,25,22,37,33,8
1,18,24,32,33,8
1,18,29,37,31,5
1,44,29,63,33,6
1,16,22,28,22,4
0,28,24,42,13,3
0,13,32,35,26,5
1,39,31,60,18,6
0,27,32,49,22,6
0,18,30,38,15,5
0,30,26,46,18,5
1,10,21,21,9,4
1,8,10,8,16,5
0,34,29,53,26,7
1,23,21,34,22,6
0,23,26,39,33,7
0,17,27,34,26,6
