sex,sat_v,sat_m,sat_sum,hs_gpa,fy_gpa
2,42,57,117,2.67,3.0
2,50,48,103,2.75,3.0
2,39,63,105,2.75,2.6000000000000005
1,43,69,106,3.8,3.0
1,61,58,92,3.4,0.6000000000000001
2,61,45,134,2.56,2.2
1,29,57,65,2.56,-0.6000000000000001
2,69,63,103,2.1,2.2
2,42,53,103,4.0,2.2
2,41,52,114,3.9,4.6
2,43,69,88,4.0,3.4000000000000004
2,42,52,134,2.9,2.2
1,40,52,118,4.0,1.8
2,61,53,117,2.5,1.8
2,44,63,108,4.0,1.8
2,29,43,117,3.8,1.8
1,41,57,117,3.4,1.4000000000000001
1,49,38,88,3.1,4.6
1,57,45,111,2.9,3.0
1,69,42,111,3.75,2.2
2,57,38,113,3.3,4.6
2,57,38,103,2.9,2.2
2,43,50,80,2.0,1.8
1,69,66,105,3.5,2.6000000000000005
2,35,48,105,2.5,2.2
1,50,61,104,2.5,2.2
1,50,63,92,3.0,2.2
1,58,63,105,2.5,4.6
2,33,43,121,4.0,3.4000000000000004
1,42,57,92,2.0,1.8
2,47,69,105,4.0,4.6
2,36,52,111,2.56,2.2
1,34,50,105,3.8,3.4000000000000004
2,34,60,113,2.67,2.2
2,39,53,70,3.0,2.6000000000000005
2,61,55,92,3.5,2.2
1,48,52,105,2.74,3.4000000000000004
1,63,52,134,3.6,3.0
2,39,35,118,2.4,3.4000000000000004
2,49,52,117,3.33,3.4000000000000004
1,35,63,106,2.25,2.2
1,33,45,103,3.8,4.6
1,61,63,113,3.7,1.8
1,36,48,90,2.8,2.2
2,36,63,113,3.33,3.0
1,42,50,121,3.8,-0.6000000000000001
1,58,47,65,3.4,1.8
2,51,38,103,3.25,2.2
2,50,57,105,3.7,3.4000000000000004
2,69,57,106,3.5,3.4000000000000004
1,36,69,84,2.0,2.6000000000000005
1,41,60,108,3.0,1.8
1,36,57,116,2.5,2.2
1,69,52,112,4.0,2.2
1,39,57,84,3.75,2.6000000000000005
2,69,54,71,3.4,2.2
2,62,58,92,3.0,1.8
2,48,63,105,3.4,2.2
2,41,42,133,3.5,2.2
2,33,51,104,2.56,4.6
2,33,45,67,3.5,2.2
2,51,53,71,2.1,3.0
2,66,53,67,2.74,2.6000000000000005
2,41,47,67,3.67,2.2
2,47,58,112,2.8,3.4000000000000004
2,35,60,134,3.3,3.4000000000000004
1,40,63,111,2.9,1.8
1,34,48,121,4.0,2.2
1,66,48,105,3.8,3.4000000000000004
2,43,42,103,3.2,1.8
1,41,57,114,2.5,3.0
2,39,62,104,2.0,3.4000000000000004
2,61,43,92,2.5,3.0
1,58,43,117,4.0,1.8
2,44,63,90,2.56,3.4000000000000004
2,39,35,92,3.0,3.4000000000000004
1,61,50,117,3.5,2.6000000000000005
2,43,57,105,3.5,4.6
2,39,57,96,3.0,3.4000000000000004
1,69,63,114,2.25,3.0
1,34,45,65,4.0,1.4000000000000001
2,50,54,96,4.0,1.8
2,60,58,111,3.2,3.0
2,69,52,101,3.33,3.4000000000000004
2,34,42,118,2.8,3.4000000000000004
1,64,48,114,4.0,1.4000000000000001
2,43,55,114,3.1,1.8
2,39,35,116,2.75,2.2
1,35,35,103,3.2,3.0
1,33,42,114,4.0,1.8
1,69,54,114,2.74,2.2
2,61,69,103,4.0,2.2
1,44,57,65,3.5,3.4000000000000004
1,50,47,104,3.2,2.2
1,62,63,112,2.9,3.4000000000000004
2,60,35,114,3.0,3.4000000000000004
2,52,63,90,2.67,3.0
1,61,42,117,2.75,2.6000000000000005
2,29,57,67,3.2,3.4000000000000004
1,32,54,106,3.1,3.4000000000000004
1,44,63,112,3.7,4.6
2,32,38,105,4.0,-0.6000000000000001
1,43,48,121,2.74,3.4000000000000004
1,50,60,65,2.0,3.0
2,35,53,104,2.1,2.2
2,39,57,65,3.75,2.2
2,41,48,104,2.74,1.8
2,42,45,103,2.67,4.6
2,33,42,111,3.5,3.4000000000000004
2,40,62,111,3.5,3.4000000000000004
2,43,45,72,3.75,0.6000000000000001
2,50,35,65,3.0,2.6000000000000005
1,36,63,105,2.9,3.0
1,40,45,65,3.0,2.2
2,69,62,89,4.0,2.2
2,48,48,71,3.0,1.8
2,47,45,111,3.25,-0.6000000000000001
2,32,63,92,3.1,1.4000000000000001
1,43,60,103,2.75,3.4000000000000004
2,34,43,134,3.8,1.8
1,58,45,104,3.0,3.0
1,43,47,80,3.1,3.4000000000000004
2,35,69,96,3.7,3.4000000000000004
1,55,55,92,4.0,2.2
1,41,66,121,2.25,3.0
2,39,38,112,2.1,3.0
2,40,35,80,3.25,1.8
1,51,50,103,3.5,1.4000000000000001
1,48,52,116,3.25,-0.6000000000000001
1,55,57,92,2.25,2.2
2,42,57,65,3.7,2.6000000000000005
2,29,43,112,2.8,2.2
1,58,43,103,2.0,2.2
2,40,50,118,3.9,3.4000000000000004
2,58,53,88,3.33,2.6000000000000005
2,36,43,65,3.75,3.4000000000000004
2,52,52,104,3.25,3.0
2,33,60,129,3.7,2.2
2,61,53,121,2.1,3.4000000000000004
2,50,50,121,3.3,2.2
1,32,57,111,3.25,1.8
1,34,47,118,2.74,3.0
2,50,69,103,3.6,2.2
1,57,58,133,4.0,2.2
1,35,31,116,2.25,2.6000000000000005
1,36,57,94,3.0,2.2
1,39,35,111,3.0,2.2
2,69,63,103,3.5,1.4000000000000001
2,32,69,104,3.25,3.4000000000000004
1,51,39,112,3.4,3.4000000000000004
1,41,69,70,2.25,2.2
2,33,60,104,3.5,3.0
2,42,53,70,3.2,2.2
2,58,58,105,4.0,3.4000000000000004
1,63,58,105,3.3,-0.6000000000000001
2,61,58,88,3.6,2.2
2,69,66,117,3.5,2.2
2,43,52,65,3.0,3.4000000000000004
1,34,38,111,2.75,2.2
2,57,54,65,3.5,1.4000000000000001
2,41,69,92,4.0,2.2
2,57,38,72,3.4,2.2
1,33,63,112,2.0,1.8
1,69,63,103,3.2,1.4000000000000001
2,41,52,104,3.6,2.2
2,34,43,103,3.8,2.2
2,36,58,105,2.0,3.0
1,50,48,67,3.2,3.0
1,44,50,111,3.4,-0.6000000000000001
1,47,52,92,3.5,2.2
2,35,43,80,3.33,3.0
2,69,53,103,2.9,2.2
2,43,48,92,4.0,4.6
1,62,63,92,2.5,2.2
1,43,69,103,2.56,2.2
1,43,50,104,4.0,3.4000000000000004
1,47,69,105,3.2,2.2
1,34,66,117,3.25,2.6000000000000005
2,39,50,88,3.4,1.8
2,40,48,104,3.7,4.6
2,29,35,113,3.9,3.0
2,41,45,67,2.75,2.2
1,40,69,112,2.74,3.0
1,29,43,70,2.9,-0.6000000000000001
2,43,52,84,3.8,2.2
2,41,57,118,3.5,2.2
1,36,62,104,2.9,2.2
1,62,58,92,4.0,1.4000000000000001
2,43,42,108,2.75,1.0
1,69,48,118,2.75,-0.6000000000000001
2,34,63,104,2.74,1.4000000000000001
1,33,38,104,3.0,2.2
1,29,39,111,4.0,3.4000000000000004
1,47,42,67,2.56,-0.6000000000000001
2,69,58,121,2.25,2.2
1,29,63,92,2.67,4.6
1,43,53,108,2.8,1.4000000000000001
1,44,50,112,2.75,2.2
2,66,39,67,4.0,3.4000000000000004
2,29,39,103,2.67,2.2
1,41,57,92,3.67,2.6000000000000005
2,51,69,112,3.0,1.8
1,42,52,103,2.25,3.0
1,66,45,105,3.67,1.8
2,51,45,103,4.0,3.4000000000000004
2,34,52,133,4.0,2.2
1,33,45,116,3.2,2.2
2,34,52,84,4.0,3.4000000000000004
1,50,39,70,4.0,4.6
1,29,55,103,3.4,1.8
2,43,63,114,3.4,1.8
1,58,50,103,3.75,2.2
1,43,35,103,3.0,3.0
2,40,58,105,3.4,1.8
2,43,35,113,3.25,3.4000000000000004
2,63,47,113,3.75,2.6000000000000005
2,57,57,92,3.7,2.6000000000000005
2,49,58,103,3.75,1.4000000000000001
2,43,47,80,3.75,4.6
2,39,63,111,4.0,4.6
1,50,62,112,3.4,1.8
2,34,47,113,3.5,2.2
1,43,66,112,3.0,4.6
1,40,50,121,2.0,2.2
1,29,63,104,3.25,3.0
1,43,62,111,3.2,-0.6000000000000001
1,69,69,90,3.4,1.8
1,32,47,114,3.3,3.0
2,61,38,89,3.6,3.0
1,44,47,117,2.74,3.4000000000000004
1,61,42,117,2.9,3.4000000000000004
1,51,45,88,3.3,3.4000000000000004
2,29,42,71,3.6,2.2
1,66,53,112,3.2,-0.6000000000000001
1,34,52,104,3.75,2.2
2,29,53,96,2.75,1.4000000000000001
2,55,62,92,3.0,2.2
2,29,58,105,3.0,1.4000000000000001
2,49,55,113,3.2,1.8
1,52,42,111,4.5,2.6000000000000005
