sex,sat_v,sat_m,sat_sum,hs_gpa,fy_gpa
1,8,21,21,33,4
1,10,4,26,22,5
0,14,34,18,5,5
1,16,22,5,33,4
1,18,36,63,15,4
1,14,20,23,25,6
1,10,37,26,33,9
0,8,20,35,33,3
0,16,9,5,21,6
1,14,31,43,25,8
0,27,32,56,12,2
0,10,10,42,33,4
0,24,20,46,33,7
0,23,9,57,29,6
1,23,34,21,11,5
0,16,31,9,22,9
0,16,47,46,33,3
0,41,28,57,11,6
0,27,30,20,25,5
0,14,27,45,4,3
1,5,19,18,21,6
0,24,30,69,6,3
1,10,32,9,4,4
1,16,24,36,31,6
0,16,4,6,13,5
1,16,27,18,18,5
1,8,19,54,16,6
1,36,4,34,30,5
1,11,30,36,12,3
1,10,37,57,21,7
1,14,24,14,33,5
0,14,47,54,6,3
1,27,27,9,22,7
0,29,20,74,9,7
1,16,33,43,12,7
0,19,21,0,6,4
1,10,4,43,4,9
1,25,9,26,22,2
1,25,47,42,31,6
0,5,37,9,33,2
0,36,25,26,33,4
0,10,28,21,26,3
1,8,36,29,13,4
1,24,47,60,31,3
0,16,36,36,11,5
1,25,23,35,22,7
0,17,19,4,6,2
1,42,37,38,22,5
1,16,4,42,6,7
1,10,36,46,26,4
0,16,32,45,30,9
0,16,20,26,13,7
1,17,18,54,6,3
0,36,36,18,21,7
1,10,47,39,18,5
1,36,34,54,21,5
1,14,30,57,33,9
1,27,12,28,12,7
1,14,27,35,15,3
0,8,32,22,5,5
0,18,31,59,33,2
1,11,17,34,25,5
0,16,22,43,6,6
0,11,36,45,22,7
0,17,20,43,22,7
0,16,19,52,4,5
1,25,21,54,31,5
0,25,18,21,30,3
1,18,20,43,21,8
1,15,47,54,33,7
1,18,28,19,31,7
0,11,28,72,30,9
0,23,25,54,3,5
1,15,27,38,31,5
1,11,41,21,26,4
0,10,27,25,33,3
1,5,22,23,13,4
1,27,29,46,4,5
0,16,23,45,33,4
1,17,4,21,22,4
1,10,37,29,25,5
1,11,21,30,4,5
0,5,34,25,4,6
0,22,21,15,6,6
1,42,40,69,33,5
1,19,34,15,21,5
1,17,29,66,33,4
1,14,40,21,18,9
1,25,33,45,26,5
0,29,40,5,21,5
0,36,20,35,30,5
0,29,36,23,6,5
0,27,29,22,33,7
1,14,20,7,4,4
0,14,40,42,18,7
0,11,20,25,22,9
0,14,40,30,16,6
0,11,27,38,29,9
0,8,4,28,22,5
1,10,4,15,12,6
1,42,34,19,12,6
0,27,29,29,22,6
0,25,33,21,22,6
0,36,9,20,5,3
0,15,34,43,18,3
1,15,34,24,21,6
0,15,47,28,33,3
0,22,21,5,26,0
1,8,18,7,21,5
1,16,29,35,6,5
0,8,25,39,21,4
0,11,18,23,29,2
0,22,31,24,30,6
1,15,40,39,12,0
0,8,20,57,29,5
1,19,40,13,33,5
1,10,34,23,33,9
1,18,23,54,29,4
0,15,23,25,33,9
1,10,4,26,32,7
1,23,27,57,21,9
1,5,27,66,4,7
1,24,40,29,11,7
1,5,4,54,13,5
1,15,4,45,6,8
0,36,41,49,30,3
1,36,33,72,6,7
0,25,47,9,11,3
0,24,27,54,21,7
0,14,23,40,11,6
0,14,9,9,25,5
0,18,19,15,22,4
0,18,20,4,11,9
0,19,30,45,6,3
0,5,47,57,16,0
1,16,33,14,11,4
0,11,40,54,22,6
1,36,41,18,31,6
0,36,9,30,13,4
