sex,sat_v,sat_m,sat_sum,hs_gpa,fy_gpa
2,35,51,88,4.0,1.8
2,37,34,93,3.25,2.2
1,41,64,85,2.25,2.2
2,43,52,72,4.0,1.8
2,45,66,130,2.75,1.8
2,41,50,90,3.4,2.6000000000000005
2,37,67,93,4.0,4.6
1,35,50,102,4.0,1.4000000000000001
1,43,39,72,3.2,2.6000000000000005
2,41,61,110,3.4,3.4000000000000004
1,54,62,123,2.67,1.0
1,37,40,109,4.0,1.8
1,51,50,113,4.0,3.0
1,50,39,124,3.7,2.6000000000000005
2,50,64,88,2.6,2.2
1,43,61,76,3.25,4.6
1,43,77,113,4.0,1.4000000000000001
1,68,58,124,2.6,2.6000000000000005
1,54,60,87,3.4,2.2
1,41,57,112,2.2,1.4000000000000001
2,32,49,85,3.2,2.6000000000000005
1,51,60,136,2.3,1.4000000000000001
2,37,62,76,2.2,1.8
2,43,54,103,3.8,2.6000000000000005
1,43,34,73,2.7,2.2
2,43,57,85,3.0,2.2
2,35,49,121,2.8,2.6000000000000005
2,63,34,101,3.75,2.2
2,38,60,103,2.67,1.4000000000000001
2,37,67,124,3.2,3.0
2,41,54,81,4.0,2.2
1,41,77,121,2.3,1.4000000000000001
2,54,57,76,3.25,3.0
1,56,50,144,2.5,3.0
2,43,63,110,2.67,3.0
1,46,51,53,2.3,1.8
2,37,34,110,2.2,4.6
2,52,39,93,3.25,1.0
2,52,77,109,3.8,2.6000000000000005
1,32,67,76,4.0,1.0
1,63,55,93,4.0,1.8
1,37,58,88,3.5,1.4000000000000001
2,35,66,96,2.7,1.8
2,51,77,127,3.8,1.4000000000000001
1,43,66,103,2.6,2.2
2,52,53,102,3.25,3.0
1,44,49,71,2.3,1.0
2,69,67,105,3.25,2.2
2,43,34,109,2.3,3.0
2,37,66,113,3.5,1.8
1,43,62,112,3.75,4.6
1,43,50,93,2.7,3.0
2,44,48,121,2.3,1.4000000000000001
1,63,66,85,3.2,3.0
2,37,77,106,3.0,2.2
2,63,64,121,3.2,2.2
2,41,60,124,4.0,4.6
2,54,42,95,2.67,3.0
2,41,57,102,2.75,1.4000000000000001
1,35,62,89,2.25,2.2
1,45,61,126,4.0,1.0
2,38,47,101,3.4,2.2
1,43,52,110,2.3,2.6000000000000005
1,38,66,112,3.25,3.0
1,44,50,110,3.25,3.0
1,43,49,119,2.2,2.2
2,52,51,121,3.8,2.2
1,52,48,88,3.75,1.4000000000000001
2,45,50,110,3.2,3.4000000000000004
2,42,77,121,4.0,3.0
2,45,58,86,3.8,3.0
1,38,58,141,3.75,4.6
1,50,55,121,2.1,2.2
2,42,57,105,3.8,2.2
2,38,71,88,3.5,1.8
1,37,57,92,4.0,1.4000000000000001
2,32,52,90,2.7,1.8
2,54,59,113,2.2,2.2
1,43,53,112,4.0,1.8
2,44,34,88,3.25,1.8
2,37,67,96,3.4,2.2
2,38,51,97,2.2,2.2
1,32,64,92,2.2,2.6000000000000005
1,49,51,82,2.3,2.6000000000000005
2,69,70,136,4.0,2.2
2,46,64,82,3.2,2.2
2,44,59,133,4.0,1.8
2,41,70,88,3.0,4.6
2,52,63,112,3.5,2.2
1,56,70,72,3.2,2.2
1,63,50,102,3.75,2.2
1,56,66,90,2.3,2.2
1,54,59,89,4.0,3.0
2,41,50,74,2.2,1.8
1,41,70,109,3.0,3.0
1,38,50,92,3.25,4.6
1,41,70,97,2.8,2.6000000000000005
1,38,57,105,3.7,4.6
1,35,34,95,3.25,2.2
2,37,34,82,2.67,2.6000000000000005
2,69,64,86,2.67,2.6000000000000005
1,54,59,96,3.25,2.6000000000000005
1,52,63,88,3.25,2.6000000000000005
1,63,39,87,2.25,1.4000000000000001
1,42,64,110,3.0,1.4000000000000001
